pp_id,min_erg_mt_out_share,max_erg_mt_in_share,min_erg_share
2,0.05,0.20409972370448298,0.11777834960739801
0,0.05,0.20409972370448298,0.2
3,0.05,0.132125228210156,0.33348918497923496
4,0.05,0.20409972370448298,0.31806068941803495
1,0.05,0.13676554255687498,0.07003918966413901
