pp;cap_pwr_leg_hp_retr_1pc_fossil;cap_pwr_leg_yr2020_hp_retr_1pc_fossil;cap_pwr_leg_yr2025_hp_retr_1pc_fossil;cap_pwr_leg_yr2030_hp_retr_1pc_fossil;cap_pwr_leg_yr2035_hp_retr_1pc_fossil;cap_pwr_leg_yr2040_hp_retr_1pc_fossil;cap_pwr_leg_yr2045_hp_retr_1pc_fossil;cap_pwr_leg_yr2050_hp_retr_1pc_fossil
MFH_RUR_HT_0_HP_AW;0;20;40;60;80;100;120;139
MFH_RUR_HT_1_HP_AW;0;60;120;180;240;300;361;421
MFH_RUR_HT_2_HP_AW;0;66;132;198;264;329;395;461
MFH_RUR_HT_3_HP_AW;0;142;285;427;569;711;854;996
MFH_SUB_HT_0_HP_AW;0;476;951;1427;1902;2378;2853;3329
MFH_SUB_HT_1_HP_AW;0;123;247;370;494;617;741;864
MFH_SUB_HT_2_HP_AW;0;291;583;874;1166;1457;1748;2040
MFH_SUB_HT_3_HP_AW;0;13;27;40;54;67;81;94
MFH_URB_HT_0_HP_AW;0;295;589;884;1178;1473;1767;2062
MFH_URB_HT_1_HP_AW;0;11;23;34;46;57;69;80
MFH_URB_HT_2_HP_AW;0;364;728;1092;1456;1820;2184;2548
MFH_URB_HT_3_HP_AW;0;46;92;139;185;231;277;324
SFH_RUR_HT_0_HP_AW;0;238;475;713;950;1188;1426;1663
SFH_RUR_HT_1_HP_AW;0;179;358;537;716;895;1074;1253
SFH_RUR_HT_2_HP_AW;0;97;195;292;390;487;584;682
SFH_RUR_HT_3_HP_AW;0;40;80;120;160;201;241;281
SFH_SUB_HT_0_HP_AW;0;420;839;1259;1678;2098;2517;2937
SFH_SUB_HT_1_HP_AW;0;228;456;684;912;1141;1369;1597
SFH_SUB_HT_2_HP_AW;0;101;202;303;404;505;606;707
SFH_SUB_HT_3_HP_AW;0;157;313;470;627;783;940;1097
SFH_URB_HT_0_HP_AW;0;17;34;52;69;86;103;121
SFH_URB_HT_1_HP_AW;0;76;152;227;303;379;455;531
SFH_URB_HT_2_HP_AW;0;111;222;332;443;554;665;776
SFH_URB_HT_3_HP_AW;0;27;55;82;110;137;164;192
MFH_RUR_HT_0_HP_WW;0;4;9;13;17;22;26;30
MFH_RUR_HT_1_HP_WW;0;10;20;30;41;51;61;71
MFH_RUR_HT_2_HP_WW;0;12;24;36;48;60;72;84
MFH_RUR_HT_3_HP_WW;0;24;47;71;95;118;142;166
MFH_SUB_HT_0_HP_WW;0;77;154;231;308;385;462;539
MFH_SUB_HT_1_HP_WW;0;20;40;60;80;100;120;139
MFH_SUB_HT_2_HP_WW;0;46;93;139;186;232;278;325
MFH_SUB_HT_3_HP_WW;0;3;6;9;12;16;19;22
MFH_URB_HT_0_HP_WW;0;42;85;127;169;212;254;297
MFH_URB_HT_1_HP_WW;0;2;4;5;7;9;11;12
MFH_URB_HT_2_HP_WW;0;57;114;171;228;285;342;399
MFH_URB_HT_3_HP_WW;0;7;15;22;29;37;44;51
SFH_RUR_HT_0_HP_WW;0;39;78;118;157;196;235;274
SFH_RUR_HT_1_HP_WW;0;31;63;94;126;157;189;220
SFH_RUR_HT_2_HP_WW;0;17;34;50;67;84;101;118
SFH_RUR_HT_3_HP_WW;0;8;17;25;33;41;50;58
SFH_SUB_HT_0_HP_WW;0;67;134;201;268;335;402;470
SFH_SUB_HT_1_HP_WW;0;36;73;109;145;181;218;254
SFH_SUB_HT_2_HP_WW;0;17;35;52;69;86;104;121
SFH_SUB_HT_3_HP_WW;0;26;51;77;102;128;153;179
SFH_URB_HT_0_HP_WW;0;3;6;8;11;14;17;20
SFH_URB_HT_1_HP_WW;0;11;22;33;44;54;65;76
SFH_URB_HT_2_HP_WW;0;17;35;52;70;87;104;122
SFH_URB_HT_3_HP_WW;0;4;9;13;17;22;26;30
