dmnd_sum;dmnd_sum_yr2020;dmnd_sum_yr2025;dmnd_sum_yr2030;dmnd_sum_yr2035;dmnd_sum_yr2040;dmnd_sum_yr2045;dmnd_sum_yr2050
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
1;1.032021274;1.055389593;1.070888988;1.086388383;1.106418371;1.131694308;1.158400958
