pp_id,pp,nd_id,fl_id,pt_id,set_def_pr,set_def_cain,set_def_ror,set_def_pp,set_def_st,set_def_hyrs,set_def_chp,set_def_add,set_def_rem,set_def_sll,set_def_curt,set_def_lin,set_def_scen,set_def_winsol,set_def_tr,set_def_peak
118,MFH_URB_0_STO_LI,16,19,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
119,MFH_URB_1_STO_LI,17,19,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
120,MFH_URB_2_STO_LI,18,19,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
121,MFH_URB_3_STO_LI,19,19,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
122,OCO_RUR_STO_LI,20,19,20,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
123,OCO_SUB_STO_LI,21,19,20,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
124,OCO_URB_STO_LI,22,19,20,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
125,SFH_RUR_0_STO_LI,23,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
126,SFH_RUR_1_STO_LI,24,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
127,SFH_RUR_2_STO_LI,25,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
128,SFH_RUR_3_STO_LI,26,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
129,SFH_SUB_0_STO_LI,27,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
130,SFH_SUB_1_STO_LI,28,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
131,SFH_SUB_2_STO_LI,29,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
132,SFH_SUB_3_STO_LI,30,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
133,SFH_URB_0_STO_LI,31,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
134,SFH_URB_1_STO_LI,32,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
135,SFH_URB_2_STO_LI,33,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
136,SFH_URB_3_STO_LI,34,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
137,IND_RUR_STO_VR,5,19,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
138,IND_SUB_STO_VR,6,19,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
139,IND_URB_STO_VR,7,19,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
140,MFH_RUR_0_STO_VR,8,19,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
141,MFH_RUR_1_STO_VR,9,19,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
142,MFH_RUR_2_STO_VR,10,19,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
143,MFH_RUR_3_STO_VR,11,19,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
144,MFH_SUB_0_STO_VR,12,19,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
145,MFH_SUB_1_STO_VR,13,19,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
146,MFH_SUB_2_STO_VR,14,19,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
147,MFH_SUB_3_STO_VR,15,19,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
148,MFH_URB_0_STO_VR,16,19,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
149,MFH_URB_1_STO_VR,17,19,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
150,MFH_URB_2_STO_VR,18,19,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
151,MFH_URB_3_STO_VR,19,19,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
152,OCO_RUR_STO_VR,20,19,28,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
153,OCO_SUB_STO_VR,21,19,28,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
154,OCO_URB_STO_VR,22,19,28,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
155,SFH_RUR_0_STO_VR,23,19,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
156,SFH_RUR_1_STO_VR,24,19,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
157,SFH_RUR_2_STO_VR,25,19,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
158,SFH_RUR_3_STO_VR,26,19,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
159,SFH_SUB_0_STO_VR,27,19,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
