DateTime;doy;nd_id;erg_tot
2015-03-26 00:00:00.000000;85;TRANSP_H2;4852.186032
2015-03-27 00:00:00.000000;86;TRANSP_H2;4852.186032
2015-03-28 00:00:00.000000;87;TRANSP_H2;4852.186032
2015-03-29 00:00:00.000000;88;TRANSP_H2;4852.186032
2015-03-30 00:00:00.000000;89;TRANSP_H2;4852.186032
2015-03-31 00:00:00.000000;90;TRANSP_H2;4852.186032
2015-04-01 00:00:00.000000;91;TRANSP_H2;4852.186032
2015-04-02 00:00:00.000000;92;TRANSP_H2;4852.186032
2015-04-03 00:00:00.000000;93;TRANSP_H2;4852.186032
2015-04-04 00:00:00.000000;94;TRANSP_H2;4852.186032
2015-04-05 00:00:00.000000;95;TRANSP_H2;4852.186032
2015-04-06 00:00:00.000000;96;TRANSP_H2;4852.186032
2015-04-07 00:00:00.000000;97;TRANSP_H2;4852.186032
2015-04-08 00:00:00.000000;98;TRANSP_H2;4852.186032
2015-04-09 00:00:00.000000;99;TRANSP_H2;4852.186032
2015-04-10 00:00:00.000000;100;TRANSP_H2;4852.186032
2015-04-11 00:00:00.000000;101;TRANSP_H2;4852.186032
2015-04-12 00:00:00.000000;102;TRANSP_H2;4852.186032
2015-04-13 00:00:00.000000;103;TRANSP_H2;4852.186032
2015-04-14 00:00:00.000000;104;TRANSP_H2;4852.186032
2015-04-15 00:00:00.000000;105;TRANSP_H2;4852.186032
2015-04-16 00:00:00.000000;106;TRANSP_H2;4852.186032
2015-04-17 00:00:00.000000;107;TRANSP_H2;4852.186032
2015-04-18 00:00:00.000000;108;TRANSP_H2;4852.186032
2015-04-19 00:00:00.000000;109;TRANSP_H2;4852.186032
2015-04-20 00:00:00.000000;110;TRANSP_H2;4852.186032
2015-04-21 00:00:00.000000;111;TRANSP_H2;4852.186032
2015-04-22 00:00:00.000000;112;TRANSP_H2;4852.186032
2015-04-23 00:00:00.000000;113;TRANSP_H2;4852.186032
2015-04-24 00:00:00.000000;114;TRANSP_H2;4852.186032
2015-04-25 00:00:00.000000;115;TRANSP_H2;4852.186032
2015-04-26 00:00:00.000000;116;TRANSP_H2;4852.186032
2015-04-27 00:00:00.000000;117;TRANSP_H2;4852.186032
2015-04-28 00:00:00.000000;118;TRANSP_H2;4852.186032
2015-04-29 00:00:00.000000;119;TRANSP_H2;4852.186032
2015-04-30 00:00:00.000000;120;TRANSP_H2;4852.186032
2015-05-01 00:00:00.000000;121;TRANSP_H2;4852.186032
2015-05-02 00:00:00.000000;122;TRANSP_H2;4852.186032
2015-05-03 00:00:00.000000;123;TRANSP_H2;4852.186032
2015-05-04 00:00:00.000000;124;TRANSP_H2;4852.186032
2015-05-05 00:00:00.000000;125;TRANSP_H2;4852.186032
2015-05-06 00:00:00.000000;126;TRANSP_H2;4852.186032
2015-05-07 00:00:00.000000;127;TRANSP_H2;4852.186032
2015-05-08 00:00:00.000000;128;TRANSP_H2;4852.186032
2015-05-09 00:00:00.000000;129;TRANSP_H2;4852.186032
2015-05-10 00:00:00.000000;130;TRANSP_H2;4852.186032
2015-05-11 00:00:00.000000;131;TRANSP_H2;4852.186032
2015-05-12 00:00:00.000000;132;TRANSP_H2;4852.186032
2015-05-13 00:00:00.000000;133;TRANSP_H2;4852.186032
2015-05-14 00:00:00.000000;134;TRANSP_H2;4852.186032
2015-05-15 00:00:00.000000;135;TRANSP_H2;4852.186032
2015-05-16 00:00:00.000000;136;TRANSP_H2;4852.186032
2015-05-17 00:00:00.000000;137;TRANSP_H2;4852.186032
2015-05-18 00:00:00.000000;138;TRANSP_H2;4852.186032
2015-05-19 00:00:00.000000;139;TRANSP_H2;4852.186032
2015-05-20 00:00:00.000000;140;TRANSP_H2;4852.186032
2015-05-21 00:00:00.000000;141;TRANSP_H2;4852.186032
2015-05-22 00:00:00.000000;142;TRANSP_H2;4852.186032
2015-05-23 00:00:00.000000;143;TRANSP_H2;4852.186032
2015-05-24 00:00:00.000000;144;TRANSP_H2;4852.186032
2015-05-25 00:00:00.000000;145;TRANSP_H2;4852.186032
2015-05-26 00:00:00.000000;146;TRANSP_H2;4852.186032
2015-05-27 00:00:00.000000;147;TRANSP_H2;4852.186032
2015-05-28 00:00:00.000000;148;TRANSP_H2;4852.186032
2015-05-29 00:00:00.000000;149;TRANSP_H2;4852.186032
2015-05-30 00:00:00.000000;150;TRANSP_H2;4852.186032
2015-05-31 00:00:00.000000;151;TRANSP_H2;4852.186032
2015-06-01 00:00:00.000000;152;TRANSP_H2;4852.186032
2015-06-02 00:00:00.000000;153;TRANSP_H2;4852.186032
2015-06-03 00:00:00.000000;154;TRANSP_H2;4852.186032
2015-06-04 00:00:00.000000;155;TRANSP_H2;4852.186032
2015-06-05 00:00:00.000000;156;TRANSP_H2;4852.186032
2015-06-06 00:00:00.000000;157;TRANSP_H2;4852.186032
2015-06-07 00:00:00.000000;158;TRANSP_H2;4852.186032
2015-06-08 00:00:00.000000;159;TRANSP_H2;4852.186032
2015-06-09 00:00:00.000000;160;TRANSP_H2;4852.186032
2015-06-10 00:00:00.000000;161;TRANSP_H2;4852.186032
2015-06-11 00:00:00.000000;162;TRANSP_H2;4852.186032
2015-06-12 00:00:00.000000;163;TRANSP_H2;4852.186032
2015-06-13 00:00:00.000000;164;TRANSP_H2;4852.186032
