set_1_name,set_2_name,set_1_id,set_2_id,mt_id,parameter,mt_fact,mt_fact_others
nd_id,na,2,-1,0,price_co2,0.908952794,1.0
nd_id,na,2,-1,1,price_co2,0.945415084,1.0
nd_id,na,2,-1,2,price_co2,0.885512751,1.0
nd_id,na,2,-1,3,price_co2,0.92457949,1.0
nd_id,na,2,-1,4,price_co2,0.970157352,1.0
nd_id,na,2,-1,5,price_co2,0.972761801,1.0
nd_id,na,2,-1,6,price_co2,1.006619642,1.0
nd_id,na,2,-1,7,price_co2,1.053499729,1.0
nd_id,na,2,-1,8,price_co2,1.054801953,1.0
nd_id,na,2,-1,9,price_co2,1.091264243,1.0
nd_id,na,2,-1,10,price_co2,1.106890939,1.0
nd_id,na,2,-1,11,price_co2,1.079544221,1.0
nd_id,na,0,-1,0,price_co2,0.908952794,1.0
nd_id,na,0,-1,1,price_co2,0.945415084,1.0
nd_id,na,0,-1,2,price_co2,0.885512751,1.0
nd_id,na,0,-1,3,price_co2,0.92457949,1.0
nd_id,na,0,-1,4,price_co2,0.970157352,1.0
nd_id,na,0,-1,5,price_co2,0.972761801,1.0
nd_id,na,0,-1,6,price_co2,1.006619642,1.0
nd_id,na,0,-1,7,price_co2,1.053499729,1.0
nd_id,na,0,-1,8,price_co2,1.054801953,1.0
nd_id,na,0,-1,9,price_co2,1.091264243,1.0
nd_id,na,0,-1,10,price_co2,1.106890939,1.0
nd_id,na,0,-1,11,price_co2,1.079544221,1.0
nd_id,na,4,-1,0,price_co2,0.908952794,1.0
nd_id,na,4,-1,1,price_co2,0.945415084,1.0
nd_id,na,4,-1,2,price_co2,0.885512751,1.0
nd_id,na,4,-1,3,price_co2,0.92457949,1.0
nd_id,na,4,-1,4,price_co2,0.970157352,1.0
nd_id,na,4,-1,5,price_co2,0.972761801,1.0
nd_id,na,4,-1,6,price_co2,1.006619642,1.0
nd_id,na,4,-1,7,price_co2,1.053499729,1.0
nd_id,na,4,-1,8,price_co2,1.054801953,1.0
nd_id,na,4,-1,9,price_co2,1.091264243,1.0
nd_id,na,4,-1,10,price_co2,1.106890939,1.0
nd_id,na,4,-1,11,price_co2,1.079544221,1.0
nd_id,na,3,-1,0,price_co2,0.908952794,1.0
nd_id,na,3,-1,1,price_co2,0.945415084,1.0
nd_id,na,3,-1,2,price_co2,0.885512751,1.0
nd_id,na,3,-1,3,price_co2,0.92457949,1.0
nd_id,na,3,-1,4,price_co2,0.970157352,1.0
nd_id,na,3,-1,5,price_co2,0.972761801,1.0
nd_id,na,3,-1,6,price_co2,1.006619642,1.0
nd_id,na,3,-1,7,price_co2,1.053499729,1.0
nd_id,na,3,-1,8,price_co2,1.054801953,1.0
nd_id,na,3,-1,9,price_co2,1.091264243,1.0
nd_id,na,3,-1,10,price_co2,1.106890939,1.0
nd_id,na,3,-1,11,price_co2,1.079544221,1.0
nd_id,na,1,-1,0,price_co2,1.0,1.0
nd_id,na,1,-1,1,price_co2,1.0,1.0
nd_id,na,1,-1,2,price_co2,1.0,1.0
nd_id,na,1,-1,3,price_co2,1.0,1.0
nd_id,na,1,-1,4,price_co2,1.0,1.0
nd_id,na,1,-1,5,price_co2,1.0,1.0
nd_id,na,1,-1,6,price_co2,1.0,1.0
nd_id,na,1,-1,7,price_co2,1.0,1.0
nd_id,na,1,-1,8,price_co2,1.0,1.0
nd_id,na,1,-1,9,price_co2,1.0,1.0
nd_id,na,1,-1,10,price_co2,1.0,1.0
nd_id,na,1,-1,11,price_co2,1.0,1.0
fl_id,nd_id,2,0,0,vc_fl,1.103290676,1.0
fl_id,nd_id,2,0,1,vc_fl,1.015539305,1.0
fl_id,nd_id,2,0,2,vc_fl,1.027422303,1.0
fl_id,nd_id,2,0,3,vc_fl,1.034734918,1.0
fl_id,nd_id,2,0,4,vc_fl,1.024680073,1.0
fl_id,nd_id,2,0,5,vc_fl,1.008226691,1.0
fl_id,nd_id,2,0,6,vc_fl,0.987202925,1.0
fl_id,nd_id,2,0,7,vc_fl,0.984460695,1.0
fl_id,nd_id,2,0,8,vc_fl,0.986288848,1.0
fl_id,nd_id,2,0,9,vc_fl,0.959780622,1.0
fl_id,nd_id,2,0,10,vc_fl,0.932358318,1.0
fl_id,nd_id,2,0,11,vc_fl,0.938756856,1.0
fl_id,nd_id,0,0,0,vc_fl,0.998842593,1.0
fl_id,nd_id,0,0,1,vc_fl,1.032407407,1.0
fl_id,nd_id,0,0,2,vc_fl,1.070601852,1.0
fl_id,nd_id,0,0,3,vc_fl,1.076388889,1.0
fl_id,nd_id,0,0,4,vc_fl,1.041666667,1.0
fl_id,nd_id,0,0,5,vc_fl,1.009259259,1.0
fl_id,nd_id,0,0,6,vc_fl,1.018518519,1.0
fl_id,nd_id,0,0,7,vc_fl,0.965277778,1.0
fl_id,nd_id,0,0,8,vc_fl,0.949074074,1.0
fl_id,nd_id,0,0,9,vc_fl,0.944444444,1.0
fl_id,nd_id,0,0,10,vc_fl,0.962962963,1.0
fl_id,nd_id,0,0,11,vc_fl,0.929398148,1.0
fl_id,nd_id,13,0,0,vc_fl,0.894243641,1.0
fl_id,nd_id,13,0,1,vc_fl,1.123159304,1.0
fl_id,nd_id,13,0,2,vc_fl,1.124497992,1.0
fl_id,nd_id,13,0,3,vc_fl,1.207496653,1.0
fl_id,nd_id,13,0,4,vc_fl,1.250334672,1.0
fl_id,nd_id,13,0,5,vc_fl,1.203480589,1.0
fl_id,nd_id,13,0,6,vc_fl,1.085676037,1.0
