nd_id,nd_2_id,ca_id,mt_id,cap_trme_leg,cap_trmi_leg
1,23,0,5,385.7548851,385.7548851
1,23,0,6,385.7548851,385.7548851
1,23,0,7,385.7548851,385.7548851
1,23,0,8,385.7548851,385.7548851
1,23,0,9,385.7548851,385.7548851
1,23,0,10,385.7548851,385.7548851
1,23,0,11,385.7548851,385.7548851
1,24,0,0,307.6273135,307.6273135
1,24,0,1,307.6273135,307.6273135
1,24,0,2,307.6273135,307.6273135
1,24,0,3,307.6273135,307.6273135
1,24,0,4,307.6273135,307.6273135
1,24,0,5,307.6273135,307.6273135
1,24,0,6,307.6273135,307.6273135
1,24,0,7,307.6273135,307.6273135
1,24,0,8,307.6273135,307.6273135
1,24,0,9,307.6273135,307.6273135
1,24,0,10,307.6273135,307.6273135
1,24,0,11,307.6273135,307.6273135
1,25,0,0,203.1316863,203.1316863
1,25,0,1,203.1316863,203.1316863
1,25,0,2,203.1316863,203.1316863
1,25,0,3,203.1316863,203.1316863
1,25,0,4,203.1316863,203.1316863
1,25,0,5,203.1316863,203.1316863
1,25,0,6,203.1316863,203.1316863
1,25,0,7,203.1316863,203.1316863
1,25,0,8,203.1316863,203.1316863
1,25,0,9,203.1316863,203.1316863
1,25,0,10,203.1316863,203.1316863
1,25,0,11,203.1316863,203.1316863
1,26,0,0,81.05735561,81.05735561
1,26,0,1,81.05735561,81.05735561
1,26,0,2,81.05735561,81.05735561
1,26,0,3,81.05735561,81.05735561
1,26,0,4,81.05735561,81.05735561
1,26,0,5,81.05735561,81.05735561
1,26,0,6,81.05735561,81.05735561
1,26,0,7,81.05735561,81.05735561
1,26,0,8,81.05735561,81.05735561
1,26,0,9,81.05735561,81.05735561
1,26,0,10,81.05735561,81.05735561
1,26,0,11,81.05735561,81.05735561
1,6,0,0,1092.633656,1092.633656
1,6,0,1,1092.633656,1092.633656
1,6,0,2,1092.633656,1092.633656
1,6,0,3,1092.633656,1092.633656
1,6,0,4,1092.633656,1092.633656
1,6,0,5,1092.633656,1092.633656
1,6,0,6,1092.633656,1092.633656
1,6,0,7,1092.633656,1092.633656
1,6,0,8,1092.633656,1092.633656
1,6,0,9,1092.633656,1092.633656
1,6,0,10,1092.633656,1092.633656
1,6,0,11,1092.633656,1092.633656
1,12,0,0,444.0793547,444.0793547
1,12,0,1,444.0793547,444.0793547
1,12,0,2,444.0793547,444.0793547
1,12,0,3,444.0793547,444.0793547
1,12,0,4,444.0793547,444.0793547
1,12,0,5,444.0793547,444.0793547
1,12,0,6,444.0793547,444.0793547
1,12,0,7,444.0793547,444.0793547
1,12,0,8,444.0793547,444.0793547
1,12,0,9,444.0793547,444.0793547
1,12,0,10,444.0793547,444.0793547
1,12,0,11,444.0793547,444.0793547
1,13,0,0,195.0812176,195.0812176
1,13,0,1,195.0812176,195.0812176
1,13,0,2,195.0812176,195.0812176
1,13,0,3,195.0812176,195.0812176
1,13,0,4,195.0812176,195.0812176
1,13,0,5,195.0812176,195.0812176
1,13,0,6,195.0812176,195.0812176
1,13,0,7,195.0812176,195.0812176
1,13,0,8,195.0812176,195.0812176
1,13,0,9,195.0812176,195.0812176
1,13,0,10,195.0812176,195.0812176
