hy,price_pf_id,value
105.0,17,50.6
106.0,15,52.35
106.0,16,40.97
106.0,17,50.5
107.0,15,52.02
107.0,16,40.72
107.0,17,48.45
108.0,15,50.4
108.0,16,41.92
108.0,17,44.54
109.0,15,50.55
109.0,16,42.0
109.0,17,42.0
110.0,15,49.46
110.0,16,43.1
110.0,17,43.1
111.0,15,50.79
111.0,16,46.7
111.0,17,46.7
112.0,15,58.08
112.0,16,56.78
112.0,17,56.78
113.0,15,64.63
113.0,16,58.84
113.0,17,58.84
114.0,15,61.17
114.0,16,49.23
114.0,17,53.6
115.0,15,54.19
115.0,16,44.32
115.0,17,46.9
116.0,15,51.16
116.0,16,40.0
116.0,17,44.58
117.0,15,50.64
117.0,16,35.08
117.0,17,48.7
118.0,15,48.78
118.0,16,30.03
118.0,17,46.06
119.0,15,43.4
119.0,16,30.02
119.0,17,45.56
120.0,15,39.86
120.0,16,30.57
120.0,17,40.28
121.0,15,38.04
121.0,16,30.25
121.0,17,39.2
122.0,15,33.14
122.0,16,30.29
122.0,17,36.22
123.0,15,30.21
123.0,16,30.63
123.0,17,34.04
124.0,15,35.88
124.0,16,29.64
124.0,17,38.58
125.0,15,41.41
125.0,16,29.67
125.0,17,43.32
126.0,15,50.67
126.0,16,38.82
126.0,17,50.0
127.0,15,50.26
127.0,16,40.76
127.0,17,49.53
128.0,15,49.79
128.0,16,40.02
128.0,17,50.87
129.0,15,48.34
129.0,16,33.99
129.0,17,50.86
130.0,15,47.43
130.0,16,31.22
130.0,17,50.17
131.0,15,46.26
131.0,16,30.06
131.0,17,47.97
132.0,15,44.25
132.0,16,29.99
132.0,17,45.2
133.0,15,43.79
133.0,16,30.73
133.0,17,41.45
134.0,15,43.94
134.0,16,37.38
134.0,17,40.08
135.0,15,47.01
135.0,16,40.32
135.0,17,43.62
136.0,15,52.45
136.0,16,45.96
136.0,17,48.55
137.0,15,54.26
137.0,16,45.71
137.0,17,52.32
138.0,15,52.98
138.0,16,39.57
138.0,17,53.1
139.0,15,49.96
139.0,16,32.92
139.0,17,48.78
140.0,15,47.92
140.0,16,29.15
140.0,17,43.91
141.0,15,48.94
141.0,16,28.46
141.0,17,44.58
142.0,15,47.98
142.0,16,26.97
142.0,17,45.73
143.0,15,43.5
143.0,16,24.97
143.0,17,40.0
144.0,15,39.46
144.0,16,24.65
144.0,17,36.69
145.0,15,37.08
145.0,16,24.68
145.0,17,37.45
146.0,15,35.06
146.0,16,25.06
146.0,17,32.08
147.0,15,33.69
147.0,16,26.1
147.0,17,29.48
148.0,15,38.02
148.0,16,26.95
148.0,17,34.94
149.0,15,47.98
149.0,16,31.43
149.0,17,41.74
150.0,15,52.41
150.0,16,45.98
150.0,17,49.17
151.0,15,53.9
151.0,16,47.91
151.0,17,54.44
152.0,15,54.95
152.0,16,48.91
152.0,17,50.99
153.0,15,54.22
153.0,16,50.0
153.0,17,50.0
154.0,15,53.76
154.0,16,51.22
154.0,17,51.22
155.0,15,51.98
155.0,16,50.15
155.0,17,50.15
156.0,15,50.42
156.0,16,51.46
156.0,17,51.46
157.0,15,48.95
157.0,16,50.88
157.0,17,50.88
158.0,15,48.92
158.0,16,48.0
158.0,17,48.0
159.0,15,49.79
159.0,16,47.14
159.0,17,47.14
160.0,15,52.85
160.0,16,51.07
160.0,17,51.07
161.0,15,55.86
161.0,16,47.42
161.0,17,52.46
162.0,15,54.04
162.0,16,44.83
162.0,17,48.78
163.0,15,50.3
163.0,16,33.86
163.0,17,47.45
164.0,15,46.47
164.0,16,27.42
164.0,17,42.02
165.0,15,47.86
165.0,16,27.02
165.0,17,45.57
166.0,15,45.55
166.0,16,22.11
166.0,17,45.6
167.0,15,44.19
167.0,16,21.92
167.0,17,43.88
168.0,15,42.18
168.0,16,19.35
168.0,17,35.65
169.0,15,41.09
169.0,16,16.11
169.0,17,35.87
170.0,15,40.98
170.0,16,14.93
170.0,17,30.17
171.0,15,39.18
171.0,16,15.0
171.0,17,24.54
172.0,15,44.2
172.0,16,19.04
172.0,17,32.0
173.0,15,47.02
173.0,16,26.17
173.0,17,40.96
174.0,15,49.44
174.0,16,38.34
174.0,17,49.53
175.0,15,49.99
175.0,16,37.7
175.0,17,48.07
176.0,15,49.43
176.0,16,32.99
176.0,17,48.75
177.0,15,48.76
177.0,16,31.95
177.0,17,49.29
178.0,15,48.04
178.0,16,33.59
178.0,17,49.33
179.0,15,48.09
179.0,16,34.37
179.0,17,48.43
180.0,15,48.35
180.0,16,35.08
180.0,17,47.21
181.0,15,48.41
181.0,16,34.45
181.0,17,43.47
182.0,15,48.42
182.0,16,38.12
182.0,17,38.27
183.0,15,48.47
183.0,16,32.47
183.0,17,41.07
184.0,15,48.1
184.0,16,36.49
184.0,17,47.97
185.0,15,47.42
185.0,16,31.82
185.0,17,51.25
186.0,15,46.75
186.0,16,32.93
186.0,17,50.31
187.0,15,46.69
187.0,16,29.44
187.0,17,47.97
188.0,15,46.31
188.0,16,28.62
188.0,17,40.5
189.0,15,46.91
189.0,16,26.71
189.0,17,43.8
190.0,15,41.0
190.0,16,15.93
190.0,17,44.05
191.0,15,42.44
191.0,16,11.55
191.0,17,32.06
192.0,15,41.31
192.0,16,13.47
192.0,17,29.71
193.0,15,41.98
193.0,16,11.23
193.0,17,28.53
194.0,15,41.06
194.0,16,9.37
194.0,17,23.75
195.0,15,41.07
195.0,16,10.33
195.0,17,16.05
196.0,15,44.07
196.0,16,10.57
196.0,17,21.44
197.0,15,45.48
197.0,16,20.08
197.0,17,31.86
198.0,15,46.98
198.0,16,34.24
198.0,17,44.0
199.0,15,47.93
199.0,16,29.99
199.0,17,45.82
200.0,15,47.28
200.0,16,28.33
200.0,17,45.59
201.0,15,47.95
201.0,16,28.51
201.0,17,42.52
202.0,15,47.95
202.0,16,31.69
202.0,17,41.57
203.0,15,47.9
203.0,16,31.11
203.0,17,41.01
204.0,15,46.98
204.0,16,29.95
204.0,17,39.24
205.0,15,46.92
205.0,16,29.17
205.0,17,36.29
206.0,15,46.95
206.0,16,29.47
206.0,17,29.47
207.0,15,46.95
207.0,16,30.09
207.0,17,30.09
208.0,15,45.96
208.0,16,33.47
208.0,17,35.43
209.0,15,45.91
209.0,16,32.78
209.0,17,41.0
210.0,15,44.94
210.0,16,33.47
210.0,17,38.95
211.0,15,44.58
211.0,16,30.11
211.0,17,32.53
212.0,15,44.95
212.0,16,26.69
212.0,17,26.69
213.0,15,45.66
213.0,16,21.64
213.0,17,26.56
214.0,15,43.28
214.0,16,14.72
214.0,17,25.26
215.0,15,37.06
215.0,16,17.1
215.0,17,19.04
216.0,15,35.08
216.0,16,12.93
216.0,17,15.96
217.0,15,32.04
217.0,16,13.7
217.0,17,13.7
218.0,15,32.0
218.0,16,11.01
218.0,17,11.01
219.0,15,29.86
219.0,16,9.08
219.0,17,9.08
220.0,15,32.0
220.0,16,9.28
220.0,17,9.28
221.0,15,30.99
221.0,16,7.19
221.0,17,11.76
222.0,15,37.08
222.0,16,9.31
222.0,17,15.84
223.0,15,41.06
223.0,16,11.35
223.0,17,16.93
224.0,15,41.47
224.0,16,15.87
224.0,17,18.11
225.0,15,42.01
225.0,16,15.84
225.0,17,19.19
226.0,15,42.75
226.0,16,14.83
226.0,17,19.25
227.0,15,41.81
227.0,16,15.83
227.0,17,20.47
228.0,15,37.06
228.0,16,14.85
228.0,17,18.21
229.0,15,41.1
229.0,16,11.42
229.0,17,16.21
230.0,15,43.71
230.0,16,11.34
230.0,17,11.34
231.0,15,44.92
231.0,16,14.15
231.0,17,14.15
232.0,15,45.83
232.0,16,17.09
232.0,17,18.64
233.0,15,44.96
233.0,16,18.87
233.0,17,24.45
234.0,15,42.05
234.0,16,13.44
234.0,17,27.75
235.0,15,41.42
235.0,16,15.82
235.0,17,24.56
236.0,15,41.4
236.0,16,11.51
236.0,17,18.75
237.0,15,41.45
237.0,16,11.81
237.0,17,25.81
238.0,15,32.07
238.0,16,5.08
238.0,17,27.67
239.0,15,37.63
239.0,16,0.05
239.0,17,26.95
240.0,15,29.37
240.0,16,-2.06
240.0,17,24.22
241.0,15,25.09
241.0,16,-4.11
241.0,17,27.08
242.0,15,12.08
242.0,16,-5.06
242.0,17,20.91
243.0,15,11.02
243.0,16,-4.12
243.0,17,13.09
244.0,15,11.09
244.0,16,-0.74
244.0,17,16.41
245.0,15,21.09
245.0,16,-25.02
245.0,17,18.72
246.0,15,15.5
246.0,16,-16.94
246.0,17,17.21
247.0,15,18.39
247.0,16,-6.86
247.0,17,21.2
248.0,15,28.65
248.0,16,1.53
248.0,17,25.96
249.0,15,33.88
249.0,16,5.61
249.0,17,28.83
250.0,15,33.93
250.0,16,9.91
250.0,17,30.73
251.0,15,36.59
251.0,16,8.71
251.0,17,31.8
252.0,15,20.63
252.0,16,-0.09
252.0,17,30.37
253.0,15,29.58
253.0,16,-0.07
253.0,17,23.39
254.0,15,34.93
254.0,16,-1.8
254.0,17,12.7
255.0,15,43.0
255.0,16,0.61
255.0,17,18.49
256.0,15,45.02
256.0,16,13.51
256.0,17,25.81
257.0,15,45.1
257.0,16,11.44
257.0,17,35.48
258.0,15,44.33
258.0,16,14.88
258.0,17,42.0
259.0,15,42.93
259.0,16,9.63
259.0,17,36.08
260.0,15,43.04
260.0,16,9.29
260.0,17,31.8
261.0,15,41.98
261.0,16,10.18
261.0,17,33.0
262.0,15,38.7
262.0,16,-2.0
262.0,17,32.19
263.0,15,28.08
263.0,16,9.3
263.0,17,27.59
264.0,15,25.06
264.0,16,2.87
264.0,17,26.81
265.0,15,19.66
265.0,16,0.09
265.0,17,25.75
266.0,15,14.67
266.0,16,0.26
266.0,17,17.86
267.0,15,23.45
267.0,16,2.83
267.0,17,15.16
268.0,15,36.37
268.0,16,10.4
268.0,17,19.84
269.0,15,45.86
269.0,16,20.03
269.0,17,33.98
270.0,15,47.95
270.0,16,44.95
270.0,17,45.51
271.0,15,47.72
271.0,16,44.92
271.0,17,48.06
272.0,15,47.17
272.0,16,36.33
272.0,17,46.2
273.0,15,46.34
273.0,16,30.41
273.0,17,45.0
274.0,15,46.82
274.0,16,30.07
274.0,17,45.38
275.0,15,45.18
275.0,16,29.33
275.0,17,42.49
276.0,15,43.92
276.0,16,29.39
276.0,17,41.53
277.0,15,44.86
277.0,16,28.98
277.0,17,36.31
278.0,15,45.0
278.0,16,29.49
278.0,17,32.37
279.0,15,45.8
279.0,16,28.99
279.0,17,33.53
280.0,15,43.32
280.0,16,34.41
280.0,17,41.31
281.0,15,46.95
281.0,16,31.69
281.0,17,47.89
282.0,15,46.42
282.0,16,29.59
282.0,17,48.42
283.0,15,42.68
283.0,16,27.61
283.0,17,41.89
284.0,15,43.97
284.0,16,15.55
284.0,17,35.24
285.0,15,45.27
285.0,16,14.91
285.0,17,37.44
286.0,15,41.93
286.0,16,9.1
286.0,17,35.0
287.0,15,40.88
287.0,16,9.27
287.0,17,33.04
288.0,15,37.99
288.0,16,10.42
288.0,17,26.56
289.0,15,37.02
289.0,16,11.16
289.0,17,26.29
290.0,15,36.57
290.0,16,10.71
290.0,17,17.44
291.0,15,36.54
291.0,16,11.26
291.0,17,11.26
292.0,15,41.0
292.0,16,11.69
292.0,17,22.29
293.0,15,43.92
293.0,16,21.05
293.0,17,33.78
294.0,15,47.97
294.0,16,32.37
294.0,17,44.94
295.0,15,48.6
295.0,16,34.21
295.0,17,49.04
296.0,15,48.05
296.0,16,28.47
296.0,17,49.64
297.0,15,46.92
297.0,16,26.07
297.0,17,48.1
298.0,15,46.91
298.0,16,23.74
298.0,17,46.95
299.0,15,46.23
299.0,16,23.73
299.0,17,46.04
300.0,15,46.94
300.0,16,23.76
300.0,17,43.38
301.0,15,46.9
301.0,16,25.62
301.0,17,36.48
302.0,15,46.07
302.0,16,28.91
302.0,17,33.05
303.0,15,46.63
303.0,16,34.13
303.0,17,34.13
304.0,15,45.98
304.0,16,42.16
304.0,17,43.03
305.0,15,47.98
305.0,16,41.99
305.0,17,49.22
306.0,15,47.01
306.0,16,37.91
306.0,17,46.38
307.0,15,42.98
307.0,16,31.41
