nd_id;ca_id;dmnd_sum;dmnd_sum_yr2020;dmnd_sum_yr2025;dmnd_sum_yr2030;dmnd_sum_yr2035;dmnd_sum_yr2040;dmnd_sum_yr2045;dmnd_sum_yr2050
IND_RUR_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
IND_SUB_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
IND_URB_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
OCO_RUR_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
OCO_SUB_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
OCO_URB_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
Public_Charging;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
