nd_id,ca_id,hy,value
0,0,0,0.0002770895101
1,0,0,0.0002264925516
2,0,0,0.0001899314815
3,0,0,0.0003265882805
4,0,0,0.0002314692523
0,0,1,0.0002780887506
1,0,1,0.0002270131518
2,0,1,0.0001929662587
3,0,1,0.0003273602337
4,0,1,0.0002289299667
0,0,2,0.0002790879891
1,0,2,0.00022753375480000001
2,0,2,0.0001960010359
3,0,2,0.00032813218670000005
4,0,2,0.0002263906808
0,0,3,0.0002800872293
1,0,3,0.00022805435499999999
2,0,3,0.00019903581319999998
3,0,3,0.0003289041399
4,0,3,0.000223851395
0,0,4,0.00027616568310000005
1,0,4,0.00023026186
2,0,4,0.0002009738572
3,0,4,0.0003292609613
4,0,4,0.0002239580012
0,0,5,0.0002722441372
1,0,5,0.0002324693648
2,0,5,0.0002029119009
3,0,5,0.0003296177837
4,0,5,0.00022406460769999997
0,0,6,0.0002683225915
1,0,6,0.00023467686980000002
2,0,6,0.0002048499448
3,0,6,0.0003299746051
4,0,6,0.00022417121369999998
0,0,7,0.0002591411259
1,0,7,0.0002296002764
2,0,7,0.0002030956955
3,0,7,0.000323316708
4,0,7,0.0002164021583
0,0,8,0.0002499596598
1,0,8,0.00022452368140000003
2,0,8,0.000201341446
3,0,8,0.00031665881119999996
4,0,8,0.000208633103
0,0,9,0.0002407781947
1,0,9,0.0002194470875
2,0,9,0.0001995871966
3,0,9,0.0003100009145
4,0,9,0.0002008640469
0,0,10,0.0002273828622
1,0,10,0.0001981158408
2,0,10,0.00019139003250000003
3,0,10,0.0002842160503
4,0,10,0.00019019422999999998
0,0,11,0.0002139875299
1,0,11,0.0001767845929
2,0,11,0.0001831928683
3,0,11,0.0002584311853
4,0,11,0.00017952441309999998
0,0,12,0.00020059219680000002
1,0,12,0.0001554533464
2,0,12,0.0001749957044
3,0,12,0.0002326463225
4,0,12,0.0001688545965
0,0,13,0.0002048715405
1,0,13,0.0001584168875
2,0,13,0.0001762605029
3,0,13,0.0002323743258
4,0,13,0.0001709689577
0,0,14,0.0002091508839
1,0,14,0.0001613804285
2,0,14,0.00017752530149999998
3,0,14,0.000232102329
4,0,14,0.0001730833182
